prediction,test_price
40.2,39.3
40.26,38.79
39.54,39.82
39.56,40.71
39.95,39.82
40.35,40.02
40.27,40.55
39.66,40.47
39.89,40.45
39.72,40.8
39.62,39.99
39.87,39.55
39.62,38.16
39.8,37.6
39.06,37.48
38.61,38.11
38.48,38.64
38.61,38.99
38.92,38.01
39.21,37.07
39.14,37.71
38.74,36.29
38.09,36.75
36.96,36.79
36.59,37.73
36.8,37.0
36.66,36.9
37.49,38.23
37.14,38.63
37.92,39.33
38.32,39.22
38.57,37.91
38.91,37.88
39.06,36.38
39.03,36.29
38.16,37.36
37.51,37.17
37.96,38.63
37.86,38.46
38.72,38.44
38.6,38.49
38.67,39.63
38.69,39.74
38.97,39.52
39.41,40.5
39.92,40.55
40.48,41.76
40.83,41.54
41.67,41.69
41.63,42.67
42.14,43.91
42.46,43.95
42.99,42.94
43.52,42.74
43.52,43.4
43.08,45.4
43.17,45.35
43.9,45.8
44.73,46.26
45.01,45.97
44.83,45.95
44.83,45.92
45.12,47.55
45.11,47.12
45.97,47.67
45.91,48.75
46.81,48.95
47.53,49.78
48.51,50.92
49.13,50.89
49.84,50.5
50.03,50.59
49.74,50.13
50.11,50.39
49.89,49.85
49.66,50.31
49.47,50.27
49.58,51.55
50.01,51.5
50.48,52.42
51.38,53.84
51.92,53.85
52.35,56.12
52.71,56.2
54.18,55.95
55.08,53.79
55.41,54.45
54.27,55.48
54.08,54.7
53.94,51.2
53.88,51.4
52.2,49.25
51.35,50.0
49.77,50.0
49.09,50.1
48.8,50.31
48.71,50.24
49.18,49.72
49.51,49.37
49.49,48.98
49.45,48.74
48.87,49.23
48.66,51.6
48.99,51.15
49.8,52.41
50.12,52.3
50.74,52.38
51.64,50.14
51.94,51.0
50.92,50.96
50.42,52.63
51.01,54.04
51.51,55.49
52.33,55.48
53.76,55.58
54.57,55.66
54.83,59.7
55.31,60.74
56.59,59.0
57.79,59.74
57.38,60.51
58.07,62.48
58.71,61.74
59.57,59.37
59.8,60.8
58.76,60.29
58.49,60.05
58.29,61.1
57.91,60.5
58.69,61.12
58.77,61.61
59.3,62.76
59.66,62.03
60.33,61.73
60.59,62.81
60.44,64.57
60.55,63.78
61.19,62.2
61.51,59.09
61.04,61.67
59.42,61.44
59.55,64.25
59.2,65.04
60.36,64.62
61.34,64.96
61.66,63.18
61.89,63.4
61.18,61.22
60.91,62.61
59.9,62.17
59.77,62.07
59.97,60.77
60.33,62.04
59.91,63.37
59.66,65.03
60.26,67.02
61.05,68.2
62.35,68.07
63.61,67.97
64.58,69.46
64.98,70.57
66.07,71.93
66.48,74.0
67.55,71.46
69.25,71.8
69.41,75.19
69.35,76.13
70.69,75.07
71.69,74.28
72.59,73.96
72.4,74.45
71.71,75.28
71.26,76.52
71.8,76.69
72.19,75.5
72.5,72.47
71.96,74.25
70.58,72.15
70.01,72.32
69.0,70.52
68.46,65.42
67.84,61.77
65.09,62.64
62.28,63.21
60.87,65.44
59.97,65.9
60.33,64.68
61.35,65.56
60.89,63.91
61.17,65.65
60.52,65.05
60.93,65.98
61.1,65.68
61.14,68.5
61.1,67.92
62.76,68.77
63.61,66.89
64.17,67.01
63.97,64.69
63.32,63.91
62.01,65.18
60.73,69.42
60.53,71.38
62.29,71.03
64.34,73.04
64.86,72.71
66.9,71.08
67.51,71.57
67.2,72.76
66.85,72.47
67.76,72.58
67.87,70.38
68.34,69.49
67.85,67.57
67.65,68.27
65.94,70.55
65.15,70.59
65.18,69.61
65.86,69.13
65.68,69.47
64.96,70.64
64.92,71.18
65.28,71.08
65.63,69.92
65.65,68.91
65.48,70.12
65.11,68.68
65.43,72.74
64.33,72.55
65.89,73.25
66.31,75.53
66.95,75.96
68.18,77.0
69.13,75.02
69.67,74.78
69.16,73.3
69.07,70.22
68.13,69.0
66.51,69.05
65.41,68.19
64.21,67.92
63.89,68.22
63.21,68.31
63.82,69.63
64.26,71.0
64.72,71.07
64.88,71.38
65.44,68.59
65.82,71.12
65.3,70.92
65.8,71.14
65.64,71.11
65.56,70.12
65.75,71.15
65.17,71.93
65.44,70.36
66.23,69.02
65.74,67.4
65.33,67.47
63.91,65.17
63.18,65.23
61.79,64.17
60.74,64.02
59.85,66.31
59.38,64.22
59.58,59.85
59.57,61.22
57.32,60.56
56.69,61.21
55.88,60.88
56.04,60.6
56.1,60.6
55.96,63.08
55.97,61.74
56.58,62.26
56.19,62.5
56.83,63.01
56.82,61.75
57.34,63.56
56.76,62.52
57.81,63.11
57.85,63.36
58.39,63.51
58.65,61.51
59.29,61.77
58.92,61.31
58.38,61.04
58.29,60.74
58.24,62.65
57.39,62.25
57.62,63.03
57.33,65.78
57.71,68.21
59.05,67.81
60.61,67.58
61.17,68.69
61.89,67.77
62.71,66.22
62.52,65.8
61.75,66.33
61.25,65.04
61.63,63.46
61.22,62.33
60.28,63.07
58.99,62.27
58.85,64.11
58.34,63.45
58.8,62.92
58.1,63.32
58.49,67.28
58.31,66.74
59.83,66.96
60.15,67.59
60.32,67.24
61.53,68.01
61.45,69.43
62.55,68.91
63.36,70.0
63.77,70.31
64.59,70.56
65.28,69.18
64.93,67.53
64.8,68.57
63.53,69.91
64.3,69.16
64.79,70.86
64.8,69.85
65.35,68.75
65.42,66.63
64.98,66.79
63.72,69.0
63.17,63.05
63.56,62.08
61.42,63.15
60.33,64.73
59.61,64.46
60.14,66.81
60.31,67.1
60.83,66.95
61.7,66.66
61.6,69.23
61.21,70.41
61.58,71.48
63.51,70.2
64.55,68.61
65.14,66.19
64.4,67.02
63.51,66.67
63.24,65.64
62.5,66.46
61.89,65.82
61.53,65.43
60.48,69.1
60.04,68.37
61.73,65.33
62.32,65.12
61.15,64.27
60.53,62.71
60.11,62.11
58.95,63.31
58.28,61.82
58.18,60.31
57.81,60.84
57.24,55.84
56.82,51.56
54.9,53.23
52.42,50.5
51.61,53.51
49.99,57.39
50.3,61.14
51.92,59.86
54.47,57.93
55.39,60.94
54.96,60.19
56.45,58.82
56.59,60.07
56.28,58.24
57.16,57.54
56.52,58.67
55.64,60.02
56.31,58.05
56.26,56.67
55.49,56.69
54.18,56.14
52.8,57.1
51.56,58.82
52.32,58.78
52.5,59.98
52.52,60.23
53.28,56.89
55.21,58.82
54.79,60.55
55.34,60.39
57.02,61.37
57.5,61.0
58.04,60.21
58.83,58.39
58.85,56.84
57.59,57.3
56.73,56.91
55.56,55.36
54.16,56.9
52.81,55.0
53.37,55.81
52.53,55.57
52.51,55.77
52.73,56.75
53.35,58.34
53.69,56.95
55.61,58.36
55.21,59.35
55.74,58.23
56.19,63.9
55.72,63.22
57.4,63.53
58.29,66.42
58.6,68.55
60.74,68.96
61.58,71.54
62.41,71.63
64.47,74.17
65.59,70.51
67.22,72.44
67.31,69.5
68.16,66.73
67.44,66.6
64.98,68.4
64.94,68.9
65.07,69.99
65.25,68.59
65.61,67.01
64.91,62.17
63.58,61.83
61.23,61.78
60.19,63.7
59.3,64.49
59.36,63.79
59.83,63.34
60.04,63.77
59.96,62.02
60.39,64.54
60.14,64.77
60.24,64.05
60.15,62.72
60.77,60.64
59.51,59.49
59.26,61.75
57.78,61.33
57.61,59.44
56.91,58.03
55.97,59.63
54.98,60.17
55.52,69.91
55.53,69.63
60.12,68.4
61.8,75.91
63.36,74.07
67.08,70.49
68.29,71.1
67.5,71.28
67.69,69.53
67.85,67.74
67.26,67.09
66.27,61.1
66.39,61.69
62.98,64.38
61.25,64.33
61.16,64.02
60.52,64.56
60.5,63.85
60.54,62.37
60.08,61.0
59.28,60.63
58.39,60.33
58.07,57.79
57.69,56.15
56.78,56.19
56.14,52.65
54.75,57.1
52.4,55.89
53.17,58.11
52.65,57.89
53.11,59.04
53.7,58.97
53.79,56.99
53.63,59.8
53.47,59.67
54.4,59.82
54.86,59.94
55.59,60.2
56.16,61.92
57.23,61.5
57.91,52.95
58.55,62.14
56.06,60.2
57.79,58.96
57.41,56.37
56.66,52.39
55.32,50.11
52.91,52.56
50.51,51.38
50.29,50.45
49.16,51.76
48.28,51.92
48.94,55.32
48.89,54.36
50.91,52.78
52.21,52.0
52.15,52.19
52.0,58.83
51.17,57.7
53.39,62.97
55.19,66.18
57.01,66.97
59.83,65.98
61.47,67.46
60.23,68.86
61.74,69.28
62.98,68.28
63.05,68.21
63.88,69.63
64.49,70.28
65.5,70.1
66.51,66.26
67.64,67.75
65.29,68.8
64.57,69.69
64.74,70.86
64.54,70.69
65.3,69.5
66.14,67.64
65.5,65.17
64.04,69.2
62.49,68.78
63.99,69.57
63.58,68.23
64.01,70.1
64.36,71.7
65.11,71.94
66.27,72.61
67.22,71.59
68.07,73.03
68.28,73.35
69.22,73.32
69.66,75.36
68.92,73.14
69.91,69.68
69.67,67.41
66.53,66.59
65.04,63.08
63.35,63.95
61.31,59.08
60.5,65.22
57.92,63.23
59.03,66.77
59.34,66.56
60.97,62.02
62.51,60.07
60.82,63.54
59.43,66.99
59.73,67.07
61.9,67.71
62.43,68.99
62.37,69.45
63.95,66.88
63.77,68.89
63.04,69.21
64.36,69.46
63.9,60.45
64.03,59.78
61.26,57.52
58.6,58.3
56.53,59.41
56.15,59.28
56.09,59.49
56.69,61.75
56.58,61.4
57.8,62.44
57.51,62.58
56.9,64.27
58.35,63.44
58.81,61.5
59.46,61.16
59.38,62.57
59.22,62.36
58.82,61.63
58.82,60.75
58.2,61.58
58.73,61.13
57.81,60.51
57.87,58.25
57.92,58.94
57.06,59.75
57.02,59.57
57.26,62.95
56.47,63.98
57.89,58.96
58.89,57.07
56.87,55.31
54.79,55.25
52.36,55.32
52.3,56.83
51.32,58.18
51.91,56.67
53.44,57.79
53.69,57.99
53.81,55.09
54.58,53.9
53.17,53.49
51.91,54.72
50.79,54.8
50.69,52.91
50.0,52.08
50.35,53.55
50.18,54.97
50.63,55.72
51.55,55.97
52.41,57.84
53.46,57.18
54.41,58.36
55.52,53.56
55.86,54.99
53.9,54.64
53.22,54.46
53.25,55.21
52.29,53.68
53.13,53.54
52.39,53.28
51.55,54.67
50.85,54.25
51.61,54.65
52.01,52.55
52.91,52.78
50.67,51.73
50.85,49.53
50.16,47.03
49.93,48.29
47.23,47.74
46.58,46.8
45.44,48.82
45.12,51.01
45.42,51.07
46.73,49.41
47.78,48.97
48.01,48.4
46.45,47.9
45.57,45.4
45.38,46.46
44.92,46.39
44.09,45.67
44.25,42.21
42.96,41.07
41.76,41.02
40.13,38.55
41.01,39.1
38.92,38.13
39.32,37.74
38.38,37.97
38.34,37.64
38.3,37.03
38.28,35.79
38.14,38.72
37.11,39.32
36.66,41.19
37.65,40.9
38.64,42.58
40.09,43.42
40.81,41.85
40.96,42.78
40.6,42.98
41.75,45.01
41.5,44.95
41.84,45.29
42.55,43.92
43.52,44.37
43.43,44.73
43.05,43.95
43.86,43.85
43.74,44.57
43.44,44.69
42.37,45.43
43.56,44.91
43.09,46.98
44.02,46.62
44.28,46.07
44.91,46.01
45.56,47.78
45.59,47.72
46.88,49.02
48.37,50.7
48.45,50.48
49.32,50.97
49.2,50.71
50.47,51.64
50.62,51.14
50.74,52.03
50.91,52.98
51.7,45.76
51.16,45.61
48.38,47.15
46.96,48.45
46.55,48.32
46.74,46.77
46.84,46.87
46.44,45.66
45.76,46.15
45.14,46.68
44.53,47.66
44.67,47.0
45.21,45.8
45.11,47.0
44.77,43.92
45.09,43.13
44.19,43.99
43.66,45.37
43.27,45.17
44.73,44.17
45.38,44.43
45.24,42.28
45.74,43.0
43.82,42.82
43.38,43.12
42.3,44.34
42.76,45.12
44.28,45.0
44.55,44.14
45.11,45.92
45.75,45.49
46.47,46.36
45.8,47.11
46.34,49.42
46.47,49.17
47.18,49.04
47.06,48.56
47.52,48.96
47.43,48.7
47.4,49.32
47.06,48.12
46.79,48.25
46.1,44.64
46.84,45.74
45.72,48.51
46.23,48.43
47.42,48.17
48.58,48.94
48.7,48.63
49.28,46.61
49.85,46.29
49.06,47.54
47.94,48.01
47.34,48.91
47.78,48.95
47.45,49.58
47.29,51.39
47.32,51.58
48.51,51.95
49.71,52.39
49.82,51.39
50.28,50.7
50.45,51.12
50.29,50.94
50.05,59.94
50.21,65.63
54.61,65.54
58.89,63.24
61.45,63.0
62.25,62.98
63.36,62.66
62.75,63.49
62.26,63.44
62.48,65.32
62.54,67.11
63.04,67.43
64.29,69.02
64.81,69.99
66.36,69.22
66.9,69.87
66.79,70.43
67.35,70.0
68.21,71.9
68.75,70.44
69.8,70.97
69.77,66.61
69.76,67.27
67.89,65.78
66.64,66.26
66.03,65.99
64.84,66.97
64.04,67.24
64.35,66.61
64.83,66.07
64.56,67.18
64.2,67.91
65.53,69.77
65.06,70.54
65.96,71.94
66.82,71.68
69.09,76.3
69.75,75.8
70.57,78.63
71.47,80.81
73.62,81.12
75.15,83.84
75.87,85.05
77.49,86.19
78.64,86.08
79.66,82.94
80.8,83.67
79.78,86.05
80.29,88.6
81.32,90.31
82.62,93.81
83.97,98.43
86.33,96.27
89.87,95.63
90.92,104.97
90.9,107.58
95.02,103.7
98.17,102.7
98.31,102.1
97.39,109.44
96.81,113.91
